R,Sel,Date,Month,Day,Year,Composition,Composed,Event,Venue,Street,City,State,ZIP,Performers,Conductor,Image,Notes,Extra
N,,9/28/13,9,28,2013,a thing of dream and mist,2011,,Panoply Performance Laboratory,,Brooklyn,NY,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
Y,,9/20/13,9,20,2013,the resonance after...,2008,New Music Lafayette Series,"Williams Center for the Arts, Lafayette College",,Easton,PA,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
Y,S,8/22/13,8,22,2013,Smoke and Mirrors II,2013,Domaine Forget,Salle Fran̤oys-Bernier,,"Saint-Ir̩n̩e, Quebec",CN,,Le Nouvel Ensemble Moderne,Lorraine Vaillancourt,lenem.jpg,,
Y,,8/19/13,8,19,2013,the resonance after...,2008,Domaine Forget,Salle Fran̤oys-Bernier,,"Saint-Ir̩n̩e, Quebec",CN,,Le Nouvel Ensemble Moderne,Lorraine Vaillancourt,lenem.jpg,,
Y,,4/20/13,4,20,2013,Smoke and Mirrors,2013,SEAMUS 2013,Central Presbyterian Church,,St. Paul,MN,,Ensemble 61,,,,
Y,,4/3/13,4,3,2013,a thing of dream and mist,2011,New York City Electroacoustic Music Festival,Elebash Hall,,New York City,NY,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
Y,,3/29/13,3,29,2013,deep in liquid indigo,2012,Ossia New Music Concert,Kilbourn Hall,,Rochester,NY,,Ossia New Music Ensemble,Jerry Hou,jerryhou.jpg,,
Y,,2/1/13,2,1,2013,a thing of dream and mist,2011,Florida State New Music Festival,Opperman Music Hall,,Tallahassee ,FL,,"Scotty Phillips, soprano saxophone",,scottyphillips.jpg,,
,,2012,,,,,,,,,,,,,,,,
Y,,11/3/12,11,3,2012,"in shadow, in shade",2012,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,"Keith Kirchoff, piano",,keithkirchoff.jpg,,
N,,8/2/12,8,2,2012,Three Introductions,2012,American Conservatory Composers' Concert,Fontainebleau,,Fontainebleau,FR,,American Conservatory Students,,,,"Chelsea Starbuck Smith, violin; Lucie Granger, cello; Siyi Fang, piano"
Y,S,6/7/12,6,7,2012,deep in liquid indigo,2012,June in Buffalo,Lippes Concert Hall,,Buffalo,NY,,Ensemble Interface,Scott Voyles,ensembleinterface.jpg,,
Y,S,5/11/12,5,11,2012,the resonance after...,2008,Cornell MCTS Conference,Barnes Hall,,Ithaca,NY,,Argento Chamber Ensemble,Matt Ward,,,
N,,4/5/12,4,5,2012,through a glass darkly,2011,,Manhattan School of Music,,New York City,NY,,Color Field Ensemble,,cfe.jpg,,
N,,3/6/12,3,6,2012,through a glass darkly,2011,Color Field Ensemble Winter Tour,Rosch Recital Hall,,Fredonia,NY,,Color Field Ensemble,,cfe.jpg,,
Y,,3/5/12,3,5,2012,Shifts,2010,Concert with Verb Ballet,Baldwin Wallace Conservatory,,Berea,OH,,Cleveland Chamber Symphony,Steven Smith,ccsverb.jpg,,
Y,,3/4/12,3,4,2012,through a glass darkly,2011,Color Field Ensemble Winter Tour,Eastman School of Music,,Rochester,NY,,Color Field Ensemble,,cfe.jpg,,
N,,3/3/12,3,3,2012,through a glass darkly,2011,Color Field Ensemble Winter Tour,Unity Church,,Buffalo,NY,,Color Field Ensemble,,cfe.jpg,,
Y,,2/9/12,2,9,2012,the resonance after...,2008,SEAMUS 2012,Lawrence University Chapel,,Appleton,WI,,Lawrence University Ensemble,Dylan C-Moore,,,
,,2011,,,,,,,,,,,,,,,,
N,,11/9/11,11,9,2011,Homage Fragment,2011,ADJ-ective New Music Concert,St. Mark's Episcopal Church,,Toledo,OH,,ADJ Trio,,,"Andrew Martin Smith, clarinet; Jamie Leigh Sampson, bassoon; Sipkje Pesnichak, oboe","Andrew Martin Smith, clarinet; Jamie Leigh Sampson, bassoon; Sipkje Pesnichak, oboe"
